Day,Sample_Volume,Equipment_Downtime_Percent,Repeat_Error_Rate_Percent,Manual_Processing_Hours,Staff_Available,Equipment_Utilisation_Percent,Turnaround_Time_Hours
532,94,3.6,1.7,1.5,8,69.0,3.5
533,107,7.0,0.5,1.0,9,69.8,3.7
534,133,6.1,3.6,2.7,5,80.9,7.1
535,76,4.0,0.9,1.6,11,55.6,3.5
536,138,3.2,3.1,3.2,5,88.7,5.7
537,105,5.3,1.5,2.3,8,62.4,5.9
538,152,3.9,4.1,4.2,4,75.2,7.4
539,53,4.9,0.5,1.8,5,60.2,3.5
540,98,2.2,1.6,2.2,10,68.8,3.5
541,73,13.5,1.9,1.2,7,63.3,4.8
542,97,4.6,1.8,1.3,9,68.0,4.9
543,127,4.2,2.7,3.5,7,73.9,6.4
544,115,5.9,4.3,2.5,7,78.0,4.9
545,113,3.5,1.1,1.8,9,69.6,3.5
546,116,2.6,1.1,2.1,7,69.4,4.3
547,126,8.4,2.3,2.6,4,76.6,6.5
548,92,7.6,0.5,1.7,6,80.7,3.5
549,140,2.1,3.8,2.1,8,66.9,6.0
550,139,6.7,3.8,1.9,8,82.2,5.4
551,131,2.3,3.8,3.0,4,68.5,7.4
552,136,2.5,2.0,2.6,6,79.0,7.0
553,128,6.9,5.3,3.4,6,74.4,6.9
554,177,10.8,4.7,3.8,6,77.5,9.0
555,118,7.0,2.8,2.9,5,78.1,5.5
556,111,3.5,3.5,2.1,6,69.6,5.7
557,99,10.4,2.9,2.2,6,54.0,5.3
558,91,5.0,3.8,2.1,8,70.2,3.9
559,85,5.7,2.0,2.2,8,72.5,4.0
560,95,14.2,1.9,2.0,7,76.9,5.3
561,118,6.4,2.5,3.2,6,76.9,5.9
562,129,5.1,0.9,2.7,7,77.0,6.1
563,121,2.9,2.6,3.1,6,84.6,5.4
564,99,5.0,3.2,2.1,5,81.5,6.6
565,145,9.5,3.9,2.2,5,91.4,6.6
566,141,16.3,4.2,3.2,6,74.7,9.1
567,116,6.4,2.1,3.1,5,76.2,5.5
568,102,1.7,2.1,2.5,7,71.7,4.6
569,135,4.6,3.9,2.9,8,64.8,5.7
570,125,7.3,3.7,2.8,4,81.8,6.7
571,79,6.5,1.5,1.3,7,77.6,4.5
572,118,6.7,1.9,2.8,7,77.9,6.6
573,127,6.6,3.6,2.8,8,85.4,6.9
574,95,3.7,0.5,1.8,7,67.8,3.7
575,125,3.6,4.0,3.6,4,78.0,7.0
576,79,9.0,4.5,1.5,5,66.4,4.8
577,157,5.9,2.1,2.9,7,79.4,6.0
578,155,5.1,3.6,3.8,9,75.8,6.0
579,113,7.0,3.5,3.4,3,84.8,6.8
580,130,2.9,1.9,2.4,8,85.6,5.5
581,53,4.4,1.9,1.2,9,45.0,3.5
582,88,8.7,2.4,2.0,7,71.2,4.8
583,112,4.3,1.3,1.0,8,70.0,5.0
584,90,8.9,2.6,1.6,6,68.4,5.7
585,140,6.2,3.2,2.9,7,83.2,6.2
586,176,11.9,8.4,3.7,4,100.0,9.5
587,87,1.7,2.5,2.5,3,68.7,5.4
588,97,10.6,2.3,2.5,9,75.0,3.6
589,127,3.5,1.2,2.7,5,80.3,6.5
590,165,5.4,3.3,2.9,6,92.9,7.3
591,86,10.5,3.6,2.3,5,60.0,6.9
592,127,9.7,2.2,2.8,4,94.2,6.0
593,171,10.5,2.3,3.4,7,92.6,8.5
594,74,4.7,1.6,1.7,6,66.2,3.8
595,84,2.2,3.4,3.0,8,50.9,4.2
596,108,8.9,1.4,1.0,8,63.6,3.6
597,105,15.9,1.9,1.9,8,77.2,6.1
598,143,4.3,1.3,2.9,7,82.9,6.5
599,127,0.5,2.0,1.9,10,59.7,5.3
600,70,7.0,3.0,2.4,5,68.3,5.5
601,134,6.7,1.6,3.2,7,74.4,5.7
602,104,10.2,2.9,2.0,9,77.1,4.5
603,156,2.4,3.8,2.8,9,82.2,5.3
604,102,7.6,3.7,2.5,4,73.0,7.1
605,102,5.1,2.6,2.3,6,77.9,4.7
606,135,5.9,3.2,2.5,9,70.2,6.6
607,141,0.7,3.2,2.7,8,72.4,5.9
608,133,17.9,4.6,2.9,7,76.5,8.0
609,73,5.4,0.5,2.1,7,65.7,3.5
610,135,4.0,1.2,2.2,6,70.2,5.9
611,91,4.4,0.5,1.3,8,52.6,3.5
612,127,3.7,1.9,1.7,7,81.9,4.9
613,80,1.7,2.1,2.3,7,57.8,4.4
614,132,3.6,3.2,2.9,7,74.9,5.9
615,97,0.5,3.0,2.5,6,55.1,4.2
616,84,4.9,2.1,1.0,8,57.4,4.0
617,140,7.3,2.0,3.3,12,74.9,5.4
618,127,4.3,3.3,2.7,4,85.6,6.9
619,103,4.0,0.8,2.2,8,62.5,3.9
620,161,6.7,4.3,3.8,6,98.9,7.5
621,108,4.2,1.8,1.6,8,64.6,5.4
622,121,2.7,0.5,2.2,7,69.5,5.6
623,128,3.9,4.9,2.6,8,86.2,6.7
624,103,16.2,3.7,3.5,9,68.4,6.2
625,133,4.4,2.4,2.9,7,74.0,5.7
626,105,8.2,4.2,2.9,9,66.4,6.4
627,108,5.7,3.0,3.4,3,83.9,6.5
628,158,4.6,3.4,3.0,10,92.7,6.1
629,91,5.7,0.7,1.3,8,58.6,4.9
630,52,4.4,2.8,1.6,9,51.3,3.5
631,165,7.9,3.9,2.7,5,90.1,9.1
632,191,8.9,6.0,4.8,6,89.4,8.9
633,109,2.7,3.2,2.4,7,70.3,5.4
634,66,2.7,1.5,1.0,7,57.8,4.4
635,111,4.6,1.8,2.1,8,78.3,4.8
636,112,2.1,3.0,2.5,9,78.1,4.6
637,115,3.9,5.3,2.7,4,73.2,5.8
638,89,6.1,1.9,2.1,9,61.2,4.8
639,136,6.1,2.9,2.3,7,83.5,5.7
640,135,1.6,2.5,2.1,7,74.4,5.2
641,78,0.5,3.2,2.1,4,68.5,3.7
642,140,8.7,2.6,2.8,8,78.4,7.4
643,177,5.9,4.9,3.8,3,88.3,9.8
644,125,7.4,1.5,3.2,8,67.8,5.6
645,111,5.1,1.3,2.3,4,84.4,4.9
646,116,6.7,2.0,2.6,7,71.7,6.5
647,137,9.5,3.3,2.9,7,90.6,6.7
648,72,2.1,2.4,1.0,9,54.0,3.5
649,125,7.9,2.9,1.9,7,77.5,4.6
650,109,6.2,1.5,2.4,6,88.4,5.1
651,172,8.7,4.6,4.7,6,83.2,7.9
652,115,3.6,3.4,2.5,9,57.2,4.5
653,167,8.8,4.6,2.3,8,96.1,8.1
654,89,4.6,1.2,1.0,6,59.9,3.7
655,136,6.4,2.9,3.2,7,78.7,6.7
656,129,5.5,4.5,3.0,4,75.6,6.6
657,96,3.3,0.9,2.6,8,67.7,4.2
658,125,8.5,3.5,2.5,4,71.8,8.0
659,154,3.4,5.7,3.2,8,81.9,6.8
660,111,4.6,2.6,2.8,7,74.4,5.6
661,73,3.0,0.5,1.0,11,48.8,3.5
662,120,5.1,3.1,2.5,5,71.1,7.0
663,95,2.5,1.1,2.1,7,64.1,3.8
664,110,3.7,0.5,2.3,10,58.0,4.6
665,118,3.6,2.6,2.2,9,68.4,4.6
666,72,0.5,2.9,2.3,6,61.4,4.4
667,75,3.0,0.9,1.5,7,57.7,3.8
668,133,2.3,1.9,2.0,7,76.0,4.9
669,105,0.5,1.2,3.2,8,68.4,5.1
670,50,3.3,0.9,1.0,6,49.4,3.5
671,142,6.9,2.6,2.6,7,85.4,7.0
672,128,7.4,2.5,3.0,4,89.5,6.7
673,100,4.8,3.7,2.2,7,64.7,5.3
674,83,0.5,1.4,1.5,8,65.3,3.5
675,143,2.1,3.6,2.9,7,79.2,6.3
676,130,9.8,4.6,3.0,4,82.6,7.0
677,187,5.1,5.1,3.6,9,100.0,8.4
678,132,6.6,1.5,1.3,8,80.2,5.2
679,131,2.1,3.8,3.9,6,65.9,6.1
680,115,5.0,2.2,2.5,6,76.7,5.5
681,143,13.3,5.0,3.6,4,92.5,8.9
682,138,6.4,3.4,2.3,5,79.8,6.3
683,155,6.9,3.4,3.0,6,92.5,7.4
684,105,2.3,0.5,1.6,9,62.7,3.5
685,108,0.8,2.7,3.2,6,61.0,6.8
686,107,4.7,1.4,1.8,8,70.1,5.0
687,142,1.4,1.6,3.5,6,69.3,6.1
688,162,6.7,4.3,2.9,7,84.9,8.2
689,107,10.9,3.2,2.0,7,79.1,4.5
690,108,11.0,4.4,1.9,9,55.0,3.9
691,129,5.5,3.1,3.5,6,68.7,6.2
692,113,3.7,1.6,1.7,4,67.7,4.3
693,147,1.3,2.0,2.5,5,83.7,6.1
694,57,0.5,1.1,1.0,6,53.5,3.5
695,97,7.9,2.2,1.7,5,78.9,5.9
696,98,2.7,0.5,1.6,8,73.1,3.5
697,55,1.5,0.8,1.0,6,59.0,3.5
698,93,14.8,0.5,1.2,11,62.9,4.0
699,94,2.0,2.4,1.3,4,72.0,4.8
700,114,1.0,0.9,1.9,7,66.2,3.9
701,151,6.3,4.4,4.0,5,91.3,9.0
702,113,1.6,1.0,2.7,6,65.1,4.8
703,91,2.6,1.0,2.1,7,71.1,5.1
704,118,4.1,2.5,2.4,3,85.7,5.8
705,149,6.8,3.0,2.2,7,84.2,7.0
706,93,2.7,1.0,1.0,10,61.7,3.5
707,95,3.7,3.3,2.2,6,70.3,4.7
708,136,4.3,4.0,3.3,7,58.8,6.8
709,114,4.0,3.1,2.7,9,72.3,4.8
710,138,4.4,4.7,3.2,7,78.6,5.0
711,120,5.6,3.0,2.2,6,74.6,3.8
712,140,7.7,4.1,3.4,3,88.9,8.9
713,91,3.1,2.3,1.7,8,63.8,4.7
714,120,3.8,3.4,2.4,7,66.0,6.7
715,114,2.7,3.9,3.8,5,73.2,6.3
716,86,1.6,0.5,1.0,7,64.3,3.5
717,76,5.0,0.8,1.7,6,62.6,3.6
718,139,6.4,3.6,3.6,6,81.8,7.1
719,110,5.9,2.2,1.4,8,77.3,4.0
720,91,3.6,1.8,1.9,5,59.7,5.6
721,117,4.5,2.9,1.9,9,72.3,6.2
722,152,8.5,5.6,3.3,4,95.6,8.9
723,56,5.1,2.4,1.0,6,43.7,3.5
724,78,5.0,2.3,1.7,10,59.7,3.5
725,94,2.8,0.5,2.2,9,60.1,4.6
726,161,8.7,4.7,3.5,7,83.7,8.0
727,128,4.8,2.2,2.4,5,72.1,5.7
728,141,6.6,1.9,3.1,6,80.1,6.9
729,88,5.5,1.1,1.4,7,77.3,3.7
730,89,3.5,2.8,1.8,7,55.8,4.4
731,133,2.4,4.0,3.9,7,69.7,5.4
732,122,5.1,4.6,2.6,7,65.5,6.7
733,135,12.6,3.2,2.1,7,90.6,6.9
734,115,3.5,5.3,2.9,4,72.3,7.3
735,128,5.1,2.6,2.0,6,77.2,5.6
736,124,3.2,1.7,1.7,9,70.4,4.3
737,142,3.7,1.9,2.6,5,76.0,5.4
738,143,8.5,4.4,2.7,7,79.3,7.5
739,75,3.6,1.5,2.3,6,78.7,3.7
740,57,2.5,0.7,1.7,7,64.8,3.5
741,148,1.4,4.9,3.4,6,77.4,6.9
742,153,4.1,3.7,2.1,10,85.4,6.0
743,91,0.5,2.1,1.6,8,58.5,3.5
744,68,4.4,1.5,2.0,5,48.0,3.9
745,123,11.5,2.5,2.1,8,81.0,6.5
746,146,5.6,3.4,3.0,6,90.9,6.8
747,170,15.3,5.9,3.8,6,97.3,9.5
748,134,6.5,4.3,2.5,8,73.9,6.2
749,110,2.6,2.6,2.6,6,70.8,5.1
750,95,6.9,4.0,2.7,9,69.7,4.3
751,120,4.3,3.5,2.5,6,77.7,5.9
752,112,2.7,2.5,3.1,6,69.8,6.1
753,92,2.6,2.8,2.4,6,55.3,4.0
754,177,8.3,6.0,2.9,6,92.9,8.4
755,170,6.3,5.4,2.6,9,94.6,6.6
756,152,3.5,4.1,2.5,8,74.2,6.9
757,94,3.4,0.7,1.2,10,67.7,3.5
758,144,2.3,2.0,2.4,11,79.5,4.4
759,138,6.8,4.4,3.4,5,86.7,7.6
760,132,1.7,4.8,3.4,7,83.7,5.7
761,155,4.4,4.6,3.6,5,81.6,7.0
762,138,5.7,3.6,2.7,6,69.1,5.5
763,141,5.6,2.7,1.9,6,77.6,5.4
764,138,7.3,3.3,3.1,5,87.6,8.1
765,130,4.5,3.0,3.0,5,75.2,5.9
766,70,5.6,1.7,1.7,7,54.1,4.1
767,122,5.5,5.4,4.0,5,63.9,6.6
768,104,6.1,1.8,2.7,9,79.5,5.3
769,84,6.2,2.4,2.5,5,71.0,4.4
770,167,7.8,2.0,2.2,12,88.5,6.0
771,168,6.0,4.9,3.2,6,96.2,8.2
772,158,3.3,5.0,3.2,7,89.4,8.8
773,127,5.7,4.5,2.5,5,76.4,7.0
774,158,6.5,3.6,3.1,10,81.3,6.2
775,120,6.4,2.8,2.5,9,69.0,5.7
776,126,4.6,1.9,1.9,8,93.2,6.7
777,89,2.2,2.9,2.9,5,70.6,3.9
778,131,5.6,3.2,2.8,7,74.1,5.5
779,122,5.0,2.4,1.8,5,79.9,5.6
780,84,0.5,0.8,1.5,10,53.1,3.5
781,119,6.4,2.9,2.5,8,83.2,5.4
782,118,0.5,2.2,3.0,7,68.8,4.2
783,170,4.9,4.6,3.7,3,96.5,9.8
784,145,9.4,6.0,3.7,5,91.0,7.6
785,120,8.7,5.3,2.5,8,75.7,6.2
786,127,1.9,0.5,1.7,9,74.8,4.8
787,121,3.6,0.5,1.5,9,72.4,4.1
788,114,9.4,2.6,3.4,4,74.8,6.2
789,90,6.9,1.9,2.5,8,60.0,3.7
790,116,2.8,2.8,2.4,9,67.7,4.5
791,99,4.3,3.5,3.3,4,81.1,5.7
792,85,6.7,2.3,2.5,7,62.7,4.8
793,134,3.6,3.6,3.1,7,72.7,5.2
794,131,6.2,2.1,2.3,6,74.7,6.5
795,70,0.8,2.2,2.9,4,69.7,4.6
796,117,4.7,2.7,2.9,6,78.8,6.0
797,148,2.4,1.7,2.9,6,87.3,7.3
798,150,3.0,2.0,2.7,7,81.2,5.8
799,149,16.4,3.3,3.3,6,87.7,7.9
800,121,8.6,3.1,1.7,6,70.8,5.5
801,96,2.8,2.1,2.5,7,65.0,4.4
802,90,2.5,1.6,1.3,8,70.8,3.5
803,130,5.2,1.3,3.0,6,84.1,5.5
804,131,13.2,1.9,2.6,6,71.4,5.3
805,156,7.2,4.4,3.0,7,78.8,6.9
806,151,0.5,0.8,3.0,4,87.1,6.7
807,116,3.8,3.2,2.2,8,83.9,5.4
808,85,3.4,0.5,2.9,7,50.1,4.9
809,111,4.2,3.5,3.1,7,73.2,6.9
810,126,4.3,1.5,2.6,9,64.2,5.4
811,114,4.9,4.1,2.9,3,71.8,7.5
812,104,3.5,6.2,3.2,3,70.6,7.3
813,127,3.3,0.7,3.3,7,73.2,6.5
814,106,3.1,2.3,1.8,7,66.1,5.7
815,102,6.5,0.5,2.2,7,68.7,5.2
816,129,2.9,2.6,1.8,6,74.0,5.9
817,109,2.9,2.0,2.8,8,59.5,4.6
818,127,5.6,3.2,3.5,9,79.6,6.0
819,128,8.7,1.9,2.6,8,80.7,5.7
820,88,3.5,1.7,1.0,7,70.3,4.1
821,107,5.5,1.7,3.1,3,63.3,5.5
822,160,8.7,4.7,2.6,8,87.1,7.3
823,87,3.6,0.5,1.3,9,66.8,3.5
824,61,2.5,0.5,1.7,8,48.1,3.9
825,68,2.3,3.4,2.0,5,60.5,4.1
826,121,3.8,2.0,2.1,8,72.5,5.2
827,121,7.7,3.9,1.9,9,85.2,6.6
828,117,6.1,3.1,2.2,10,83.6,5.3
829,154,5.1,3.1,3.1,5,74.5,8.1
830,50,1.7,0.8,1.0,7,70.5,3.5
831,131,2.0,2.5,2.4,8,69.9,6.7
832,164,11.5,6.0,3.5,7,94.1,9.5
833,88,4.1,2.4,2.1,5,73.2,4.9
834,109,1.6,1.4,1.4,8,62.7,4.8
835,99,7.3,1.9,2.6,8,70.2,4.1
836,95,4.3,0.9,1.0,7,65.7,3.6
837,111,5.9,3.4,2.1,7,75.2,6.3
838,160,5.7,3.6,2.9,7,87.6,6.0
839,171,6.1,3.3,3.2,10,94.7,7.4
840,111,4.1,2.2,2.9,5,73.8,6.0
841,173,3.2,4.2,4.2,6,89.7,9.4
842,121,5.2,0.9,2.1,7,82.0,4.1
843,169,7.0,3.3,3.5,9,90.8,8.4
844,117,9.4,4.8,2.9,4,81.2,6.9
845,124,4.6,2.2,1.9,5,72.5,5.3
846,130,0.5,4.8,4.2,3,73.7,6.5
847,200,10.7,2.5,3.2,7,94.0,7.9
848,144,11.1,4.8,3.4,5,78.9,8.3
849,100,6.5,2.1,2.5,6,74.5,4.5
850,147,4.3,2.7,3.0,8,87.9,6.9
851,110,5.5,2.4,2.2,6,70.9,4.8
852,106,3.5,1.7,2.7,7,79.8,4.2
853,145,13.1,1.3,2.2,6,92.1,6.7
854,121,3.9,3.1,2.4,8,75.0,5.5
855,128,4.3,2.5,2.2,8,69.6,5.0
856,120,1.7,1.9,2.3,6,86.0,5.3
857,129,2.3,1.8,2.9,7,76.3,5.9
858,132,4.8,1.4,3.1,9,76.5,6.1
859,66,2.1,1.1,1.2,8,54.4,3.5
860,139,5.7,5.7,3.7,4,76.5,7.2
861,93,0.5,1.5,1.9,8,54.6,3.7
862,80,15.7,0.9,1.5,5,68.4,5.5
863,118,0.9,1.7,2.0,10,64.9,3.5
864,122,19.5,2.8,2.2,9,94.0,6.4
865,101,0.5,2.0,1.7,8,59.7,3.5
866,143,1.9,3.8,3.2,7,72.1,6.1
867,82,4.6,0.5,2.0,7,66.2,3.5
868,109,8.9,2.1,1.3,8,80.4,5.4
869,104,4.9,0.5,1.4,6,70.7,3.5
870,119,6.2,1.2,2.7,7,77.7,4.4
871,128,3.2,1.7,2.0,9,61.5,4.4
872,92,0.9,2.2,2.3,6,61.9,4.2
873,140,3.4,1.9,3.4,6,73.5,5.3
874,122,0.7,2.9,2.1,5,63.3,4.9
875,67,0.5,1.8,1.0,5,60.9,3.5
876,65,3.9,2.6,2.8,4,44.8,4.5
877,120,9.8,1.8,2.6,8,63.7,5.7
878,114,4.3,0.5,1.8,10,65.4,3.5
879,117,7.0,2.6,1.6,10,64.3,5.5
880,119,5.8,1.4,2.6,4,79.5,6.3
881,126,3.8,3.0,1.9,8,76.9,4.7
882,147,8.9,3.1,3.1,10,85.4,6.6
883,89,4.9,1.5,1.7,6,71.0,4.4
884,87,7.0,0.5,2.5,7,72.1,5.2
885,89,2.3,2.0,2.2,3,68.7,4.6
886,128,5.2,3.0,2.1,7,78.5,6.2
887,155,4.2,2.5,3.2,5,90.1,7.2
888,108,3.3,1.6,1.0,7,71.4,5.1
889,50,2.4,1.7,1.6,4,53.2,4.3
890,72,1.4,0.5,1.4,8,56.3,3.5
891,97,0.5,2.2,2.3,9,59.4,3.7
892,104,1.3,0.5,1.3,6,73.2,4.3
893,109,0.5,3.0,3.2,5,72.0,5.4
894,121,2.2,5.1,3.5,3,73.7,8.1
895,111,5.1,4.1,3.0,7,66.7,5.8
896,149,1.2,3.8,3.1,6,75.2,6.3
897,101,2.0,2.3,3.1,4,78.2,5.3
898,96,7.6,0.5,1.2,8,66.4,3.5
899,133,3.0,2.9,3.3,6,72.9,6.5
900,77,4.7,2.2,1.6,5,68.8,3.7
901,131,6.0,1.7,1.9,6,74.4,6.4
902,123,4.8,2.5,1.7,9,63.1,3.9
903,116,1.7,4.1,2.3,8,78.9,5.3
904,164,5.1,3.6,2.9,7,83.4,7.9
905,103,0.5,0.5,2.3,8,65.0,3.5
906,178,12.1,3.3,2.8,5,93.7,10.0
907,114,1.7,2.1,1.2,7,80.2,4.2
908,84,1.1,1.8,2.6,7,63.3,4.1
909,122,1.5,3.7,3.2,6,67.2,6.2
910,90,0.6,0.5,1.3,8,67.8,3.5
911,99,6.6,2.9,2.3,6,65.3,5.4
912,131,11.6,3.2,3.2,8,89.5,7.6
913,136,3.9,2.2,2.9,8,77.8,6.1
914,103,0.5,2.1,2.8,3,57.3,6.5
915,148,0.6,1.9,3.4,9,82.9,6.0
916,152,6.9,6.2,3.2,3,100.0,10.1
917,160,6.5,4.0,3.4,6,98.0,8.5
918,135,4.8,3.2,2.5,9,89.3,4.7
919,158,14.8,3.9,3.2,6,79.3,10.0
920,67,4.7,0.8,1.7,4,67.5,3.6
921,111,4.6,2.3,2.6,5,68.2,6.5
922,96,3.0,2.3,1.9,9,66.4,3.9
923,123,1.6,2.1,2.4,4,69.0,6.3
924,104,4.8,0.9,2.4,9,62.7,3.8
925,115,3.9,2.0,1.9,7,67.8,5.2
926,173,9.2,5.3,3.6,5,98.2,8.9
927,115,6.8,4.2,2.4,6,79.1,7.2
928,132,2.2,3.6,3.2,5,81.5,6.8
929,113,0.5,1.4,1.0,9,60.4,4.1
930,122,2.6,3.2,2.9,8,71.4,4.0
931,120,2.0,1.5,2.5,4,71.8,5.4
932,133,7.4,2.7,3.5,6,85.0,7.2
933,153,7.5,2.9,3.1,5,94.1,7.8
934,166,9.1,2.5,3.1,9,93.2,7.8
935,129,5.3,4.7,4.0,5,73.4,7.0
936,137,13.8,3.1,2.3,10,56.9,6.2
937,88,5.6,2.2,2.6,7,52.0,5.5
938,118,6.8,0.5,2.7,5,85.4,4.4
939,146,5.3,5.8,3.3,6,80.0,7.9
940,144,8.1,2.8,3.1,6,76.9,6.7
941,126,6.5,5.5,3.3,5,89.3,6.9
942,145,5.7,1.7,2.6,7,90.4,6.5
943,134,15.2,2.8,2.5,5,80.4,8.3
944,154,7.4,2.2,3.3,3,86.1,8.5
945,128,7.5,3.5,2.8,6,76.5,6.5
946,110,4.6,1.6,2.6,4,75.6,6.2
947,129,9.1,2.4,3.2,6,88.9,7.4
948,50,0.5,0.5,2.2,5,58.0,3.5
949,131,5.6,3.7,2.4,5,84.4,6.2
950,50,2.9,1.1,1.0,11,57.2,3.5
951,72,1.4,2.6,1.0,7,51.4,3.8
952,133,10.8,3.3,3.9,7,83.2,7.3
953,133,4.9,3.9,3.3,4,78.8,6.4
954,87,2.1,0.6,2.3,6,47.5,3.5
955,100,3.1,0.9,1.4,7,53.1,4.4
956,158,0.8,3.4,3.4,5,80.3,6.7
957,106,2.6,2.1,2.3,9,71.5,4.5
958,183,9.1,6.2,3.8,5,95.7,10.4
959,120,3.4,4.0,3.2,6,76.3,5.3
960,131,4.7,3.0,4.1,6,92.0,7.0
961,165,7.9,4.8,2.8,7,78.6,7.5
962,124,7.7,2.6,2.1,6,76.0,6.2
963,92,5.0,1.1,1.5,7,67.7,4.8
964,117,2.9,2.1,3.3,7,67.9,4.5
965,119,4.1,2.4,3.2,6,74.9,6.2
966,82,1.2,2.8,1.6,8,50.4,4.3
967,113,3.2,2.4,2.4,7,81.8,5.1
968,99,1.0,1.4,1.7,7,62.9,3.8
969,146,5.7,3.7,3.6,6,97.0,7.8
970,121,2.2,4.4,2.2,8,73.1,5.5
971,112,1.6,3.2,2.2,7,78.8,5.4
972,117,9.8,2.4,2.9,6,73.7,6.6
973,126,5.2,2.3,2.5,7,75.6,5.0
974,137,8.1,2.3,2.3,10,72.0,6.1
975,92,2.5,2.1,2.3,5,68.4,5.4
976,91,4.4,1.0,2.3,8,66.5,4.2
977,151,6.0,5.2,4.3,4,80.8,7.4
978,108,8.0,3.9,2.6,7,69.5,5.7
979,80,4.6,0.5,1.9,10,54.7,3.5
980,132,8.3,1.7,2.5,8,92.7,5.3
981,133,5.6,2.2,2.4,7,77.3,5.6
982,77,3.9,1.5,2.2,6,72.9,3.5
983,126,3.8,4.7,2.7,7,74.4,6.5
984,141,2.4,3.5,2.1,7,82.1,6.0
985,130,2.2,3.7,2.6,6,68.8,4.8
986,138,3.5,2.9,2.9,6,77.3,6.5
987,81,0.9,0.9,1.5,7,63.8,3.5
988,129,7.1,2.2,3.6,6,88.8,7.1
989,112,12.4,3.8,2.8,6,74.2,6.4
990,106,3.4,3.3,3.3,5,81.5,5.5
991,144,6.3,4.5,3.0,8,84.7,6.3
992,161,4.8,3.4,3.2,8,96.7,6.8
993,170,5.5,3.7,2.9,7,88.6,7.4
994,157,5.9,3.5,3.0,9,99.8,7.0
995,117,5.4,3.3,2.5,7,69.7,5.4
996,130,2.7,0.5,1.8,8,70.6,4.2
997,141,6.4,3.6,2.5,8,70.8,5.9
998,123,5.9,2.5,2.4,7,91.2,7.5
999,124,4.0,1.8,2.9,6,81.9,5.3
1000,143,1.8,0.5,2.7,11,74.6,4.2
